Date,Open,High,Low,Close,Adj Close,Volume
2021-05-06,4.573240,4.589150,4.562300,4.573220,4.573220,0
2021-05-07,4.569200,4.585700,4.545200,4.568500,4.568500,0
2021-05-10,4.550160,4.574770,4.545700,4.551010,4.551010,0
2021-05-11,4.554150,4.569790,4.542100,4.557840,4.557840,0
2021-05-12,4.537590,4.547200,4.534000,4.538420,4.538420,0
2021-05-13,4.551930,4.555300,4.517900,4.551490,4.551490,0
2021-05-14,4.523630,4.538080,4.515000,4.521700,4.521700,0
2021-05-17,4.524950,4.543180,4.514200,4.524680,4.524680,0
2021-05-18,4.526560,4.532920,4.514600,4.526680,4.526680,0
2021-05-19,4.520050,4.531120,4.512700,4.520220,4.520220,0
2021-05-20,4.522510,4.524210,4.487700,4.520100,4.520100,0
2021-05-21,4.494530,4.503730,4.481200,4.493870,4.493870,0
2021-05-24,4.491730,4.494200,4.475200,4.491540,4.491540,0
2021-05-25,4.480790,4.485630,4.473400,4.477300,4.477300,0
2021-05-26,4.480490,4.499260,4.475000,4.477900,4.477900,0
2021-05-27,4.496200,4.501260,4.477100,4.498690,4.498690,0
2021-05-28,4.489460,4.492710,4.475600,4.489400,4.489400,0
2021-05-31,4.481380,4.487090,4.473900,4.481320,4.481320,0
2021-06-01,4.477680,4.480170,4.455600,4.473900,4.473900,0
2021-06-02,4.459510,4.470480,4.451400,4.455600,4.455600,0
2021-06-03,4.455030,4.463990,4.445000,4.451600,4.451600,0
2021-06-04,4.456100,4.473970,4.451900,4.459970,4.459970,0
2021-06-07,4.453670,4.472050,4.441960,4.453160,4.453160,0
2021-06-08,4.461900,4.472780,4.457600,4.464800,4.464800,0
2021-06-09,4.461320,4.476180,4.447900,4.457800,4.457800,0
2021-06-10,4.469500,4.486680,4.463500,4.469100,4.469100,0
2021-06-11,4.466090,4.492110,4.463000,4.466190,4.466190,0
2021-06-14,4.496280,4.516140,4.483000,4.496110,4.496110,0
2021-06-15,4.517990,4.532510,4.512900,4.517680,4.517680,0
2021-06-16,4.516900,4.531660,4.504400,4.524900,4.524900,0
2021-06-17,4.523920,4.552210,4.519200,4.524120,4.524120,0
2021-06-18,4.556210,4.559590,4.538400,4.556370,4.556370,0
2021-06-21,4.549830,4.552500,4.523800,4.550090,4.550090,0
2021-06-22,4.526260,4.541150,4.514200,4.526130,4.526130,0
2021-06-23,4.511400,4.529900,4.505700,4.512000,4.512000,0
2021-06-24,4.527380,4.530300,4.513200,4.527010,4.527010,0
2021-06-25,4.517700,4.521490,4.500500,4.517020,4.517020,0
2021-06-28,4.507500,4.512710,4.496500,4.510650,4.510650,0
2021-06-29,4.497600,4.524420,4.492400,4.500210,4.500210,0
2021-06-30,4.517930,4.521490,4.504500,4.517400,4.517400,0
2021-07-01,4.521350,4.523550,4.500700,4.520850,4.520850,0
2021-07-02,4.511550,4.529520,4.509600,4.513990,4.513990,0
2021-07-05,4.510320,4.515740,4.497800,4.509550,4.509550,0
2021-07-06,4.499480,4.510360,4.489000,4.499700,4.499700,0
2021-07-07,4.509800,4.536470,4.506500,4.512660,4.512660,0
2021-07-08,4.517070,4.552430,4.514990,4.532440,4.532440,0
2021-07-09,4.536460,4.551070,4.531900,4.536820,4.536820,0
2021-07-12,4.541400,4.559370,4.528300,4.544010,4.544010,0
2021-07-13,4.550390,4.579540,4.546800,4.550230,4.550230,0
2021-07-14,4.575410,4.592370,4.565300,4.576940,4.576940,0
2021-07-15,4.564110,4.582380,4.563900,4.561100,4.561100,0
2021-07-16,4.577380,4.589030,4.570900,4.576400,4.576400,0
2021-07-19,4.580100,4.598280,4.574800,4.583120,4.583120,0
2021-07-20,4.594330,4.600930,4.584500,4.592400,4.592400,0
2021-07-21,4.592330,4.600120,4.581100,4.590700,4.590700,0
2021-07-22,4.574490,4.578220,4.555100,4.574930,4.574930,0
2021-07-23,4.562470,4.574350,4.558800,4.561840,4.561840,0
2021-07-26,4.574990,4.595480,4.572800,4.575540,4.575540,0
2021-07-27,4.591750,4.598620,4.580500,4.591700,4.591700,0
2021-07-28,4.595960,4.600060,4.586100,4.595890,4.595890,0
2021-07-29,4.594510,4.596800,4.569900,4.591900,4.591900,0
2021-07-30,4.568110,4.577980,4.553900,4.568020,4.568020,0
2021-08-02,4.564830,4.569780,4.548600,4.564500,4.564500,0
2021-08-03,4.557480,4.559140,4.545400,4.556850,4.556850,0
2021-08-04,4.550000,4.554260,4.532100,4.550470,4.550470,0
2021-08-05,4.541080,4.559440,4.537600,4.540960,4.540960,0
2021-08-06,4.545320,4.571310,4.538600,4.544970,4.544970,0
2021-08-09,4.570400,4.577750,4.558300,4.570600,4.570600,0
2021-08-10,4.562700,4.580000,4.554300,4.562660,4.562660,0
2021-08-11,4.575590,4.590050,4.569600,4.574580,4.574580,0
2021-08-12,4.577740,4.593620,4.570000,4.577370,4.577370,0
2021-08-13,4.571300,4.581090,4.559700,4.571390,4.571390,0
2021-08-16,4.564190,4.568160,4.553300,4.564060,4.564060,0
2021-08-17,4.557850,4.570700,4.553500,4.555100,4.555100,0
2021-08-18,4.555340,4.564200,4.549100,4.561210,4.561210,0
2021-08-19,4.555060,4.590880,4.552200,4.554900,4.554900,0
2021-08-20,4.580280,4.593090,4.575600,4.580220,4.580220,0
2021-08-23,4.573830,4.589310,4.571500,4.574700,4.574700,0
2021-08-24,4.581480,4.586440,4.566500,4.581280,4.581280,0
2021-08-25,4.572600,4.578170,4.561800,4.571680,4.571680,0
2021-08-26,4.573030,4.577430,4.563500,4.572240,4.572240,0
2021-08-27,4.572550,4.584260,4.565900,4.572270,4.572270,0
2021-08-30,4.571100,4.578560,4.555300,4.573380,4.573380,0
2021-08-31,4.556490,4.560400,4.510200,4.556040,4.556040,0
2021-09-01,4.519500,4.526480,4.496700,4.520950,4.520950,0
2021-09-02,4.507420,4.513550,4.500000,4.504200,4.504200,0
2021-09-03,4.511040,4.517670,4.503000,4.510870,4.510870,0
2021-09-06,4.506870,4.527430,4.502100,4.506870,4.506870,0
2021-09-07,4.521820,4.527180,4.508700,4.521310,4.521310,0
2021-09-08,4.511070,4.520590,4.503000,4.511040,4.511040,0
2021-09-09,4.516970,4.546280,4.510900,4.513300,4.513300,0
2021-09-10,4.540620,4.549250,4.534600,4.541330,4.541330,0
2021-09-13,4.542140,4.552830,4.530400,4.538900,4.538900,0
2021-09-14,4.543700,4.555360,4.541400,4.546760,4.546760,0
2021-09-15,4.550690,4.563080,4.541900,4.548350,4.548350,0
2021-09-16,4.556970,4.581830,4.554300,4.563110,4.563110,0
2021-09-17,4.571800,4.589590,4.566100,4.571660,4.571660,0
2021-09-20,4.588190,4.607450,4.582800,4.585400,4.585400,0
2021-09-21,4.603440,4.628420,4.594600,4.603940,4.603940,0
2021-09-22,4.619600,4.633180,4.610600,4.617000,4.617000,0
2021-09-23,4.615400,4.622190,4.594500,4.617860,4.617860,0
2021-09-24,4.609090,4.617770,4.598800,4.609080,4.609080,0
2021-09-27,4.605680,4.607080,4.586400,4.604460,4.604460,0
2021-09-28,4.597340,4.638180,4.592400,4.597470,4.597470,0
2021-09-29,4.634670,4.637120,4.620900,4.633990,4.633990,0
